"Series Description","AUSTRALIA -- SPOT EXCHANGE RATE, US$/AUSTRALIAN $ RECIPROCAL OF RXI_N.M.AL ","SPOT EXCHANGE RATE - EURO AREA ","NEW ZEALAND -- SPOT EXCHANGE RATE, US$/NZ$ (RECIPROCAL OF RXI_N.M.NZ) ","United Kingdom -- Spot Exchange Rate, US$/Pound Sterling Reciprocal of rxi_n.m.uk","DENMARK -- SPOT EXCHANGE RATE, KRONER/US$ ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ ","INDIA -- SPOT EXCHANGE RATE, RUPEES/US$","JAPAN -- SPOT EXCHANGE RATE, YEA/US$ ","KOREA -- SPOT EXCHANGE RATE, WON/US$ ","NORWAY -- SPOT EXCHANGE RATE, KRONER/US$ ","Singapore - SPOT EXCHANGE RATE, SINGAPORE $/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ ","TAIWAN -- SPOT EXCHANGE RATE, NT$/US$ "
"Unit:","Currency:_Per_AUD","Currency:_Per_EUR","Currency:_Per_NZD","Currency:_Per_GBP","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD"
"Multiplier:","1","1","1","0.00999999978","1","1","1","1","1","1","1","1","1"
"Currency:","USD","USD","USD","USD","DKK","HKD","INR","JPY","KRW","NOK","SGD","CHF","TWD"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.NO","RXI_N.M.SI","RXI_N.M.SZ","RXI_N.M.TA"
2009-01,0.6754,1.3244,0.5510,1.4462,5.6284,7.7563,48.6995,90.1205,1354.3975,6.9566,1.4913,1.1267,33.3695
2009-02,0.6504,1.2797,0.5160,1.4422,5.8226,7.7534,49.2484,92.9158,1439.5842,6.8710,1.5178,1.1639,34.2389
2009-03,0.6666,1.3050,0.5336,1.4170,5.7137,7.7530,51.1291,97.8550,1449.6159,6.7855,1.5296,1.1555,34.3041
2009-04,0.7158,1.3199,0.5729,1.4712,5.6437,7.7501,49.9655,98.9200,1332.1250,6.6557,1.5028,1.1481,33.6009
2009-05,0.7648,1.3646,0.6014,1.5418,5.4585,7.7510,48.5100,96.6445,1254.3450,6.4504,1.4611,1.1076,32.8695
