"Series Description","AUSTRALIA -- SPOT EXCHANGE RATE, US$/AUSTRALIAN $ RECIPROCAL OF RXI_N.M.AL ","SPOT EXCHANGE RATE - EURO AREA ","NEW ZEALAND -- SPOT EXCHANGE RATE, US$/NZ$ (RECIPROCAL OF RXI_N.M.NZ) ","United Kingdom -- Spot Exchange Rate, US$/Pound Sterling Reciprocal of rxi_n.m.uk","DENMARK -- SPOT EXCHANGE RATE, KRONER/US$ ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ ","INDIA -- SPOT EXCHANGE RATE, RUPEES/US$","JAPAN -- SPOT EXCHANGE RATE, YEA/US$ ","KOREA -- SPOT EXCHANGE RATE, WON/US$ ","NORWAY -- SPOT EXCHANGE RATE, KRONER/US$ ","Singapore - SPOT EXCHANGE RATE, SINGAPORE $/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ ","TAIWAN -- SPOT EXCHANGE RATE, NT$/US$ "
"Unit:","Currency:_Per_AUD","Currency:_Per_EUR","Currency:_Per_NZD","Currency:_Per_GBP","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD"
"Multiplier:","1","1","1","0.00999999978","1","1","1","1","1","1","1","1","1"
"Currency:","USD","USD","USD","USD","DKK","HKD","INR","JPY","KRW","NOK","SGD","CHF","TWD"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.NO","RXI_N.M.SI","RXI_N.M.SZ","RXI_N.M.TA"
1990-01,0.7811,,0.6022,1.6512,6.5620,7.8116,16.9633,144.9819,686.1842,6.5462,1.8873,1.5175,26.0814
1990-02,0.7593,,0.5916,1.6961,6.4729,7.8103,16.9895,145.6932,692.4737,6.4760,1.8641,1.4879,26.1175
1990-03,0.7556,,0.5847,1.6245,6.5349,7.8129,17.1164,153.3082,700.4952,6.5972,1.8777,1.5133,26.3612
1990-04,0.7637,,0.5788,1.6372,6.4305,7.7966,17.2943,158.4586,708.7619,6.5457,1.8783,1.4866,26.3687
1990-05,0.7611,,0.5729,1.6774,6.3349,7.7877,17.3245,154.0441,711.8476,6.4477,1.8589,1.4198,26.9608
