DATE,SIPOVGINIUSA
1979-01-01,34.8
1980-01-01,34.7
1981-01-01,35.5
1982-01-01,36.7
1983-01-01,37.3
1984-01-01,37.3
1985-01-01,37.6
1986-01-01,37.6
1987-01-01,37.2
1988-01-01,37.7
1989-01-01,38.2
1990-01-01,38.3
1991-01-01,38.0
1992-01-01,38.4
1993-01-01,40.4
1994-01-01,40.0
1995-01-01,39.9
1996-01-01,40.3
1997-01-01,40.5
1998-01-01,40.0
1999-01-01,40.0
2000-01-01,40.1
2001-01-01,40.6
2002-01-01,40.4
2003-01-01,40.8
2004-01-01,40.3
2005-01-01,41.0
2006-01-01,41.4
2007-01-01,40.8
2008-01-01,40.8
2009-01-01,40.6
2010-01-01,40.0
2011-01-01,40.9
2012-01-01,40.9
2013-01-01,40.6
2014-01-01,41.5
2015-01-01,41.2
2016-01-01,41.1
2017-01-01,41.2
2018-01-01,41.4
2019-01-01,41.5
2020-01-01,39.7
2021-01-01,39.7
2022-01-01,41.3
